model_path,HW,CIN,COUT,KERNEL_SIZE,STRIDES,feature_0,feature_1,latency
dwconv-bn-relu_prior_IXBJJR.pt,7,81,81,5,1,0.103194,0.002106,0.13899523999999996
dwconv-bn-relu_prior_26GESI.pt,7,81,81,5,1,0.103194,0.002106,0.14202346
dwconv-bn-relu_prior_FBIPTO.pt,7,81,81,5,1,0.103194,0.002106,0.14846516000000004
dwconv-bn-relu_prior_P3PWJ0.pt,7,81,81,5,1,0.103194,0.002106,0.14119241999999999
dwconv-bn-relu_prior_GAKE18.pt,14,53,53,3,1,0.10388,0.00053,0.13982690000000003
dwconv-bn-relu_prior_XTFQGX.pt,14,43,43,7,2,0.10535,0.00215,0.3157466
dwconv-bn-relu_prior_OFQ4O4.pt,14,83,83,5,2,0.105742,0.002158,0.3157264
dwconv-bn-relu_prior_1DUW0I.pt,14,21,21,5,1,0.107016,0.000546,0.13151478000000005
dwconv-bn-relu_prior_BO2PLE.pt,14,21,21,5,1,0.107016,0.000546,0.14640785999999997
dwconv-bn-relu_prior_6TIGUP.pt,14,55,55,3,1,0.1078,0.00055,0.13378183999999996
dwconv-bn-relu_prior_187IMK.pt,14,11,11,7,1,0.1078,0.00055,0.13469463999999992
dwconv-bn-relu_prior_PIEMFA.pt,7,220,220,3,1,0.1078,0.0022,0.14327938000000004
dwconv-bn-relu_prior_SDDQRT.pt,7,221,221,3,1,0.10829,0.00221,0.14781658
dwconv-bn-relu_prior_6I8SSX.pt,7,222,222,3,1,0.10878,0.00222,0.35829156000000006
dwconv-bn-relu_prior_ULFBUT.pt,7,86,86,5,1,0.109564,0.002236,0.13171896000000005
dwconv-bn-relu_prior_TWDNGV.pt,7,86,86,5,1,0.109564,0.002236,0.13015137999999998
dwconv-bn-relu_prior_9ZGG3C.pt,28,14,14,3,1,0.10976,0.00014,0.35945531999999986
dwconv-bn-relu_prior_53R3XV.pt,14,56,56,3,1,0.10976,0.00056,0.12898046000000002
dwconv-bn-relu_prior_O5V093.pt,14,56,56,3,1,0.10976,0.00056,0.13307918000000007
dwconv-bn-relu_prior_G0IS63.pt,14,57,57,3,1,0.11172,0.00057,0.1321412
