model_path,HW,CIN1,CIN2,CIN3,CIN4,latency
concat_prior_3B68XX.pt,56,202,532,0,0,0.4603123800000001
concat_prior_WJHPH3.pt,7,2019,34,0,0,0.017994200000000002
concat_prior_HLR95W.pt,14,452,237,127,0,0.21373190000000006
concat_prior_ZG1QWS.pt,7,888,319,503,131,0.16813914000000005
concat_prior_9GGQOU.pt,28,560,158,0,0,0.25496312000000004
concat_prior_AF242K.pt,56,622,200,0,0,0.6054444000000001
concat_prior_N26LB7.pt,14,279,179,53,0,0.16890567999999995
concat_prior_FE5DO6.pt,7,64,21,272,245,0.005115779999999999
concat_prior_OMFAO0.pt,14,222,717,0,0,0.20028862
concat_prior_MW4386.pt,14,113,434,0,0,0.12729456
concat_prior_NVYKHL.pt,28,847,178,1919,169,0.5863518200000001
concat_prior_442YY8.pt,7,216,2085,0,0,0.11907992000000006
concat_prior_HS7ACR.pt,56,74,208,270,0,0.19520757999999994
concat_prior_WKVBCM.pt,7,500,150,244,0,0.011416039999999995
concat_prior_ORC49P.pt,56,189,195,189,0,0.25033328
concat_prior_SST28H.pt,14,1013,121,502,512,0.19096100000000005
concat_prior_MY8EPQ.pt,56,135,533,37,1161,1.2102348399999996
concat_prior_F0ZZQ9.pt,14,89,222,0,0,0.09647532
concat_prior_F4K4QD.pt,14,106,201,212,979,0.15528966
concat_prior_QUKYWH.pt,56,97,993,202,94,1.1352496200000002
concat_prior_RINGAG.pt,7,167,15,0,0,0.01611712
concat_prior_H9BOKI.pt,56,1016,823,1058,752,3.537098500000001
concat_prior_T0DYS5.pt,14,1041,61,697,34,0.18664808
concat_prior_3HQ6DT.pt,56,260,294,37,111,0.26703530000000003
concat_prior_XY3HR9.pt,7,82,786,178,88,0.10975778000000001
concat_prior_UBIPPI.pt,14,193,2020,522,0,0.20258574000000004
concat_prior_MMHTVZ.pt,14,255,505,0,0,0.17320776
concat_prior_TGSGE0.pt,7,198,164,118,0,0.00515998
concat_prior_BK9QGS.pt,14,537,767,39,237,0.17632662000000004
concat_prior_ZBWMN5.pt,14,1006,4,0,0,0.13852054
concat_prior_WKQ37J.pt,56,81,484,143,0,0.2901627399999999
concat_prior_4H8LWR.pt,56,542,254,124,421,1.2003651
concat_prior_1ZWGRK.pt,7,1147,528,189,246,0.15832090000000001
concat_prior_0G5NUT.pt,7,186,98,18,102,0.00455204
concat_prior_HVXA1L.pt,28,219,77,0,0,0.18624112
concat_prior_79QZZM.pt,7,529,67,0,0,0.01050532
concat_prior_V96L7E.pt,14,164,495,115,772,0.1678509
concat_prior_DYNJA2.pt,14,148,118,2050,3,0.15183882
concat_prior_F5MT97.pt,56,101,922,489,0,1.3198719400000005
concat_prior_PYUK7W.pt,56,225,194,0,0,0.42063439999999985
concat_prior_0U5DPL.pt,14,979,170,212,92,0.21842534
concat_prior_9IW33M.pt,56,828,9,93,2112,3.4581443000000003
concat_prior_VF27Z0.pt,14,3,209,996,0,0.18534706
concat_prior_E4LWSM.pt,56,529,29,464,528,1.1318605199999998
concat_prior_QDXYO0.pt,14,160,91,256,0,0.12966541999999998
concat_prior_7ZCP1S.pt,14,26,524,47,279,0.16337154
concat_prior_RVPXL9.pt,28,500,103,115,69,0.28794612
concat_prior_GEMWUA.pt,28,152,210,251,452,0.28704566000000004
concat_prior_ATISG3.pt,56,202,209,1140,257,1.2528283000000002
concat_prior_V5PYRT.pt,28,101,145,164,0,0.24749880000000005
concat_prior_USXQXG.pt,14,96,417,25,0,0.13858749999999997
concat_prior_Y1TEZO.pt,7,1081,215,341,0,0.0236544
concat_prior_B0EVOH.pt,14,133,442,0,0,0.12982232000000005
concat_prior_OD8HCH.pt,14,35,248,44,145,0.16219574
concat_prior_ZHM36S.pt,56,1026,112,535,0,1.2172535399999997
concat_prior_VPC8WJ.pt,28,542,262,2019,92,0.5352874799999999
concat_prior_IFOWW3.pt,28,198,201,209,0,0.19731878000000005
