model_path,HW,CIN,COUT,KERNEL_SIZE,POOL_STRIDES,latency
avgpool_prior_HZ4M5Z.pt,112,150,150,3,2,1.32921928
avgpool_prior_FO5P0S.pt,112,72,72,3,2,1.0998297800000003
avgpool_prior_HFW367.pt,56,495,495,3,2,1.0564905999999998
avgpool_prior_YZUS8J.pt,224,495,495,2,2,5.033046080000001
avgpool_prior_XR686U.pt,112,236,236,3,2,1.7041510400000004
avgpool_prior_9HNON6.pt,14,496,496,3,2,0.16796436
avgpool_prior_57PTQ8.pt,56,71,71,2,1,0.8792840200000002
avgpool_prior_NF0B21.pt,28,493,493,3,2,0.44325346
avgpool_prior_N6PXOU.pt,224,73,73,2,2,1.5245087800000008
avgpool_prior_WVI8M1.pt,56,65,65,2,2,0.24826956
avgpool_prior_8WFX15.pt,28,238,238,2,2,0.31131146
avgpool_prior_WJP61Z.pt,14,199,199,3,1,0.25271235999999997
avgpool_prior_16ZT6S.pt,14,826,826,2,1,0.7338136999999999
avgpool_prior_SH3FLV.pt,28,70,70,2,1,0.4672580800000001
avgpool_prior_GQQBNI.pt,112,83,83,3,2,1.21618206
avgpool_prior_XDLYRO.pt,224,183,183,2,2,2.26896764
avgpool_prior_15IWTR.pt,224,132,132,2,2,1.97807096
avgpool_prior_PNGMHX.pt,14,840,840,3,2,0.26825002000000003
avgpool_prior_UOU3DE.pt,28,501,501,3,2,0.5306302000000002
avgpool_prior_9RIAP2.pt,112,234,234,2,2,1.28347762
avgpool_prior_B5HO4R.pt,28,68,68,2,1,0.41007768
avgpool_prior_UD9WLV.pt,112,529,529,2,2,1.9158985999999998
avgpool_prior_MNPVH4.pt,14,492,492,2,2,0.21540260000000008
avgpool_prior_18YYM5.pt,112,493,493,3,2,1.79494896
avgpool_prior_W6IFZG.pt,14,51,51,2,2,0.08344049999999997
avgpool_prior_7TEHA5.pt,224,234,234,3,2,2.73079974
avgpool_prior_D0D2WL.pt,112,251,251,3,2,1.6432993400000007
avgpool_prior_34QQ8M.pt,224,52,52,3,2,1.4059847800000003
avgpool_prior_4GI7GA.pt,56,35,35,2,2,0.22764784
avgpool_prior_3Z1Z13.pt,14,836,836,2,2,0.2140103999999999
avgpool_prior_FCHPBB.pt,14,82,82,3,2,0.09083804000000001
avgpool_prior_HWB2TV.pt,112,506,506,3,2,1.6979143399999992
avgpool_prior_F4CRVW.pt,14,94,94,3,2,0.09028040000000002
avgpool_prior_JPRN27.pt,56,84,84,3,2,0.3676538200000001
avgpool_prior_MUHS33.pt,56,494,494,3,2,1.37447528
avgpool_prior_U6JOT5.pt,224,99,99,3,2,1.5205820399999999
avgpool_prior_GCN6W3.pt,14,521,521,3,2,0.17090323999999996
avgpool_prior_LZ9KOK.pt,14,51,51,2,2,0.08337326
avgpool_prior_KA58M4.pt,14,490,490,3,1,0.6487742799999999
avgpool_prior_7XBQG7.pt,56,501,501,3,2,1.2260152999999996
avgpool_prior_RQCBGG.pt,14,232,232,3,1,0.25182265999999986
avgpool_prior_6E6X39.pt,112,512,512,3,2,1.7516612000000003
avgpool_prior_V9JG1Q.pt,28,192,192,2,2,0.21247800000000003
avgpool_prior_YQY436.pt,14,97,97,2,2,0.11209327999999998
avgpool_prior_CHWXPI.pt,56,836,836,2,2,1.3487369200000001
avgpool_prior_UQJHSF.pt,28,68,68,3,2,0.1855485
avgpool_prior_HLIUUV.pt,14,93,93,2,2,0.09203396000000001
avgpool_prior_DCOY4D.pt,14,73,73,3,2,0.09757418000000001
avgpool_prior_RHOX5W.pt,28,492,492,2,2,0.42126747999999986
avgpool_prior_8BVL5C.pt,14,64,64,3,2,0.08610388000000001
avgpool_prior_YVRTAJ.pt,14,63,63,2,2,0.08611569999999999
avgpool_prior_EKNUGL.pt,224,196,196,2,2,2.2530109
avgpool_prior_9PUFL5.pt,56,243,243,2,2,0.7551323600000001
avgpool_prior_WUPE8F.pt,14,49,49,2,2,0.08363930000000003
avgpool_prior_N5TL77.pt,112,67,67,3,2,0.8916236400000003
avgpool_prior_HMH9LJ.pt,14,493,493,2,2,0.15751099999999998
avgpool_prior_2V9G32.pt,14,492,492,2,2,0.15749466
avgpool_prior_38RDCT.pt,224,1052,1052,2,1,44.87262672000001
avgpool_prior_P5CWP1.pt,14,63,63,2,2,0.09164484
avgpool_prior_X48R6H.pt,14,232,232,2,2,0.11318586000000003
avgpool_prior_4X78NY.pt,112,130,130,2,2,1.2039605000000002
avgpool_prior_C1AHOQ.pt,56,89,89,2,2,0.33400034
avgpool_prior_YR2EUB.pt,112,526,526,2,2,2.08075376
avgpool_prior_G7SA6J.pt,56,140,140,2,2,0.47112434000000003
avgpool_prior_WKC50P.pt,28,508,508,3,2,0.4605294600000001
avgpool_prior_H5O7VD.pt,112,194,194,2,2,1.3587338200000003
avgpool_prior_Q7LOYO.pt,14,143,143,2,2,0.021293219999999998
avgpool_prior_2J21IJ.pt,28,67,67,2,2,0.12353784000000001
avgpool_prior_B13IW4.pt,224,237,237,3,2,2.7854517800000007
avgpool_prior_NC6DMA.pt,14,67,67,3,1,0.18480616000000005
avgpool_prior_IXPQ5P.pt,112,512,512,3,1,5.3022950400000015
avgpool_prior_LR6FYU.pt,14,51,51,2,2,0.10627506000000002
avgpool_prior_PJBIG9.pt,112,93,93,2,2,1.05643476
avgpool_prior_1FJ8SR.pt,14,491,491,3,2,0.20848723999999993
avgpool_prior_K73W5S.pt,14,50,50,2,2,0.08419316
avgpool_prior_8TGNNJ.pt,112,231,231,2,2,1.2528484000000004
avgpool_prior_3WQ12K.pt,112,231,231,3,1,2.5298396999999992
avgpool_prior_FP99K3.pt,112,56,56,2,2,0.94642578
avgpool_prior_QDEL9I.pt,112,52,52,2,2,0.7242004200000001
avgpool_prior_TM1XYZ.pt,14,502,502,2,2,0.22981547999999996
avgpool_prior_RK0582.pt,56,66,66,2,1,1.0030291600000003
avgpool_prior_C8DMMA.pt,56,193,193,2,1,1.3999202800000001
avgpool_prior_06LMYC.pt,14,840,840,3,1,0.8360635800000001
avgpool_prior_HAQYRM.pt,28,1032,1032,2,2,1.1073986999999996
avgpool_prior_K6SAZC.pt,28,53,53,3,2,0.11623205999999996
avgpool_prior_47KS2Y.pt,14,843,843,3,2,0.23099072000000007
avgpool_prior_WUMEWH.pt,56,138,138,3,2,0.7365084000000002
avgpool_prior_KMYI3V.pt,112,91,91,3,2,1.1367517400000002
avgpool_prior_UAQPU8.pt,112,64,64,3,2,0.8514792
avgpool_prior_YD5ZWP.pt,28,255,255,2,1,0.91645198
avgpool_prior_0T8F0V.pt,28,511,511,2,2,0.5339706799999999
avgpool_prior_4PX5TN.pt,56,184,184,3,2,0.6649228
avgpool_prior_PEQM6R.pt,56,495,495,3,2,0.9704280400000002
avgpool_prior_4XO8R9.pt,14,1039,1039,3,2,0.35726332000000005
avgpool_prior_6ZKZE5.pt,14,134,134,3,1,0.17499406000000003
avgpool_prior_42AH3P.pt,14,100,100,2,2,0.09423054
avgpool_prior_DPINZS.pt,224,89,89,2,1,3.3453167599999993
avgpool_prior_2Z3RBO.pt,14,503,503,2,1,0.5501757200000001
avgpool_prior_XVO9G4.pt,224,506,506,3,2,5.603144339999999
avgpool_prior_53EHKZ.pt,14,502,502,2,2,0.16043508000000004
avgpool_prior_XW0CKO.pt,56,466,466,2,2,1.0845584199999996
avgpool_prior_YY59VK.pt,28,64,64,2,2,0.1178629
avgpool_prior_G3C0Y8.pt,14,33,33,3,2,0.08228228
avgpool_prior_W6XB75.pt,28,494,494,3,1,1.2530138399999997
avgpool_prior_G9VCY1.pt,28,179,179,3,2,0.24616708000000004
avgpool_prior_Y7A9M8.pt,14,244,244,2,2,0.13752401999999997
avgpool_prior_XGI0TD.pt,56,231,231,2,2,0.8889109599999999
