model_path,HW,CIN,COUT,KERNEL_SIZE,STRIDES,feature_0,feature_1,latency
conv-bn-relu_prior_T6DLVG.pt,28,111,24,1,2,0.526848,0.002688,0.15598378
conv-bn-relu_prior_JBVBJH.pt,27,5,121,1,1,0.529254,0.000726,0.14240602000000002
conv-bn-relu_prior_B3Z38F.pt,8,99,84,1,1,0.5376,0.0084,0.09051824
conv-bn-relu_prior_48AWC0.pt,13,176,18,1,1,0.538434,0.003186,0.12449405999999996
conv-bn-relu_prior_7OSSLV.pt,14,63,43,1,1,0.539392,0.002752,0.14875316000000002
conv-bn-relu_prior_NEEDBQ.pt,27,105,28,1,2,0.540918,0.002968,0.18995431999999998
conv-bn-relu_prior_YM0XT1.pt,13,535,6,1,1,0.543504,0.003216,0.2900693999999999
conv-bn-relu_prior_7AE9NT.pt,7,89,124,1,1,0.54684,0.01116,0.10393437999999998
conv-bn-relu_prior_64PN98.pt,14,69,40,1,1,0.5488,0.0028,0.10920246000000003
conv-bn-relu_prior_T982B8.pt,27,35,21,1,1,0.551124,0.000756,0.14468675999999997
conv-bn-relu_prior_WVEKYN.pt,13,141,23,1,1,0.551954,0.003266,0.14712334
conv-bn-relu_prior_IW92Q0.pt,13,117,112,1,2,0.558376,0.013216,0.1177823
conv-bn-relu_prior_SS1DIB.pt,3,856,73,1,1,0.563049,0.062561,0.09396498000000003
conv-bn-relu_prior_GY41SV.pt,1,283,227,3,1,0.578396,0.578396,0.09718042
conv-bn-relu_prior_WUY6UT.pt,8,822,11,1,1,0.579392,0.009053,0.13991527999999995
conv-bn-relu_prior_RC2NFW.pt,13,121,114,1,2,0.587613,0.013908,0.11189065999999999
conv-bn-relu_prior_YCV0PZ.pt,8,183,50,1,1,0.5888,0.0092,0.09219041999999998
conv-bn-relu_prior_VQ8DUT.pt,28,214,14,1,2,0.58996,0.00301,0.13492814
conv-bn-relu_prior_XOT2X6.pt,8,164,56,1,1,0.59136,0.00924,0.09247825999999999
conv-bn-relu_prior_WX4UY9.pt,8,137,67,1,1,0.591744,0.009246,0.08801402000000001
conv-bn-relu_prior_5ZMN9A.pt,7,61,32,5,2,0.598192,0.048832,0.12877017999999998
conv-bn-relu_prior_HZKZFM.pt,8,7,1169,1,1,0.598528,0.009352,0.12048559999999998
conv-bn-relu_prior_1L6F8Q.pt,14,84,36,1,1,0.59976,0.00306,0.09010533999999998
conv-bn-relu_prior_3N2X5D.pt,14,236,52,1,2,0.603876,0.012324,0.13304051999999997
conv-bn-relu_prior_C8LYCG.pt,27,63,13,1,1,0.606528,0.000832,0.13441476000000002
conv-bn-relu_prior_O6KW1D.pt,14,208,60,1,2,0.61446,0.01254,0.13257874
conv-bn-relu_prior_J53JI2.pt,28,48,16,1,1,0.614656,0.000784,0.1331785
conv-bn-relu_prior_1YZ0IR.pt,13,259,14,1,1,0.61516,0.00364,0.13201809999999997
conv-bn-relu_prior_40PF1H.pt,7,4,64,7,1,0.617792,0.012608,0.12010112
conv-bn-relu_prior_CQ3MC5.pt,28,43,18,1,1,0.620928,0.000792,0.15425265999999996
conv-bn-relu_prior_51Q5H0.pt,28,158,20,1,2,0.62328,0.00318,0.15409596
conv-bn-relu_prior_E1OPDZ.pt,14,58,54,1,1,0.624456,0.003186,0.18881363999999998
conv-bn-relu_prior_UTXNCC.pt,14,59,6,3,1,0.625632,0.003192,0.13411695999999998
conv-bn-relu_prior_Y6SIVP.pt,7,64,199,1,1,0.633815,0.012935,0.11407129999999999
conv-bn-relu_prior_6YZ3Y3.pt,7,100,58,3,2,0.6401605,0.052258,0.11475147999999998
conv-bn-relu_prior_N41OEG.pt,7,24,242,3,2,0.6432965,0.052514,0.22986723999999994
conv-bn-relu_prior_D70VAF.pt,27,73,12,1,1,0.647352,0.000888,0.16351329999999997
conv-bn-relu_prior_MG0914.pt,8,28,40,3,1,0.64768,0.01012,0.11475675999999999
conv-bn-relu_prior_NF7FA6.pt,13,20,184,1,1,0.653016,0.003864,0.21538322
conv-bn-relu_prior_400XGS.pt,27,63,14,1,1,0.653184,0.000896,0.11502824
conv-bn-relu_prior_SX2BCQ.pt,8,137,74,1,1,0.653568,0.010212,0.10048841999999997
conv-bn-relu_prior_8D142B.pt,13,151,26,1,1,0.667888,0.003952,0.15406270000000005
conv-bn-relu_prior_HXPWAG.pt,8,176,59,1,1,0.668352,0.010443,0.20785566000000003
conv-bn-relu_prior_IYJIHT.pt,13,494,8,1,1,0.66924,0.00396,0.12935212
conv-bn-relu_prior_XNPTL7.pt,13,211,19,1,1,0.680732,0.004028,0.13752891999999994
conv-bn-relu_prior_MEESLB.pt,7,103,15,3,1,0.68208,0.01392,0.10138461999999997
conv-bn-relu_prior_GQ5YQT.pt,27,157,6,1,1,0.691092,0.000948,0.14674016
conv-bn-relu_prior_64NBOO.pt,8,168,256,1,2,0.692224,0.043264,0.05716184
