model_path,CIN,COUT,feature_0,feature_1,latency
fc_prior_ZD2FRS.pt,2292,1000,2.2925,4.585,0.2822719999999999
fc_prior_I7FS84.pt,2293,1000,2.2935,4.587,0.28017558000000004
fc_prior_XL6V22.pt,2293,1000,2.2935,4.587,0.31218702
fc_prior_IJKNCA.pt,2295,1000,2.2955,4.591,0.22634486000000004
fc_prior_A2VEU3.pt,2299,1000,2.2995,4.599,0.29500868
fc_prior_CSMYXA.pt,2300,1000,2.3005,4.601,0.34064176
fc_prior_597KKW.pt,2306,1000,2.3065,4.613,0.30326262
fc_prior_6JCU76.pt,2313,1000,2.3135,4.627,0.22587680000000007
fc_prior_CY3E5Z.pt,2323,1000,2.3235,4.647,0.28404929999999995
fc_prior_I79NG2.pt,2329,1000,2.3295,4.659,0.27737994
fc_prior_8GR2SB.pt,2332,1000,2.3325,4.665,0.28101822000000004
fc_prior_FMWT6P.pt,2338,1000,2.3385,4.677,0.2886923600000001
fc_prior_7CNIQB.pt,2339,1000,2.3395,4.679,0.059104520000000015
fc_prior_TZ1MJX.pt,2340,1000,2.3405,4.681,0.21975713999999996
fc_prior_PYVCX7.pt,2346,1000,2.3465,4.693,0.25788126
fc_prior_HPJ1ME.pt,2347,1000,2.3475,4.695,0.28913784
fc_prior_9YQCGA.pt,2349,1000,2.3495,4.699,0.29064008
fc_prior_2EWUBT.pt,2352,1000,2.3525,4.705,0.2817009999999999
fc_prior_2YA0XA.pt,3584,1000,3.5845,7.169,0.38809114000000006
fc_prior_1VUL0K.pt,3587,1000,3.5875,7.175,0.39270842000000017
fc_prior_BYOU83.pt,3588,1000,3.5885,7.177,0.3797635999999999
fc_prior_X0MMIL.pt,3591,1000,3.5915,7.183,0.41223022
fc_prior_S0Z0JA.pt,3591,1000,3.5915,7.183,0.42652229999999997
fc_prior_EJFT60.pt,3592,1000,3.5925,7.185,0.39777762000000005
fc_prior_VOZ1H6.pt,3594,1000,3.5945,7.189,0.3971108599999999
fc_prior_6RQ15C.pt,3601,1000,3.6015,7.203,0.41164172
fc_prior_L6P904.pt,3609,1000,3.6095,7.219,0.4009982000000001
fc_prior_7X045U.pt,3610,1000,3.6105,7.221,0.3885924200000001
fc_prior_7X0E8O.pt,3611,1000,3.6115,7.223,0.4386188800000001
fc_prior_M3L5CQ.pt,3612,1000,3.6125,7.225,0.4412452800000001
fc_prior_ID31AA.pt,3615,1000,3.6155,7.231,0.4096585
fc_prior_ZLMVM0.pt,3617,1000,3.6175,7.235,0.36193918
fc_prior_1J0R7Z.pt,3627,1000,3.6275,7.255,0.3878842199999999
fc_prior_Z681D1.pt,3628,1000,3.6285,7.257,0.40513972
fc_prior_PNNBEK.pt,3628,1000,3.6285,7.257,0.39088096
fc_prior_8SWMEV.pt,3630,1000,3.6305,7.261,0.40243970000000007
fc_prior_J4J921.pt,3634,1000,3.6345,7.269,0.3792659200000001
fc_prior_D6EFPS.pt,3634,1000,3.6345,7.269,0.38437666
