model_path,HW,CIN,COUT,KERNEL_SIZE,STRIDES,feature_0,feature_1,latency
conv-bn-relu_prior_WEQJWG.pt,13,10,97,1,1,0.180323,0.001067,0.023771800000000006
conv-bn-relu_prior_4W0FE2.pt,7,527,7,1,1,0.181104,0.003696,0.025938660000000002
conv-bn-relu_prior_HWI8FV.pt,3,241,84,1,1,0.182952,0.020328,0.024553240000000004
conv-bn-relu_prior_JXV5ON.pt,8,499,23,1,2,0.184,0.0115,0.023932060000000005
conv-bn-relu_prior_Y3CIUJ.pt,8,55,52,1,1,0.186368,0.002912,0.024728919999999995
conv-bn-relu_prior_KLMIOL.pt,13,30,36,1,1,0.188604,0.001116,0.024192520000000006
conv-bn-relu_prior_RPVOPZ.pt,14,259,15,1,2,0.1911,0.0039,0.023614479999999997
conv-bn-relu_prior_3K8DYY.pt,1,438,195,3,2,0.19222125,0.768885,0.03333758
conv-bn-relu_prior_Y9V1I0.pt,3,78,122,3,2,0.1929735,0.085766,0.03379499999999999
conv-bn-relu_prior_2NXSXL.pt,13,127,9,1,1,0.194688,0.001152,0.024507519999999994
conv-bn-relu_prior_2SMGDY.pt,13,106,44,1,2,0.198913,0.004708,0.031133420000000002
conv-bn-relu_prior_E5OQ43.pt,14,6,147,1,1,0.201684,0.001029,0.023815360000000004
conv-bn-relu_prior_DUSHXT.pt,3,1202,19,1,1,0.205713,0.022857,0.02560592
conv-bn-relu_prior_QUW09H.pt,56,5,11,1,1,0.206976,6.6e-05,0.024127659999999992
conv-bn-relu_prior_EH5D6I.pt,14,13,76,1,1,0.208544,0.001064,0.0240893
conv-bn-relu_prior_UFZJ3H.pt,14,266,4,1,1,0.209328,0.001068,0.024422279999999998
conv-bn-relu_prior_Y00ZKH.pt,8,148,22,1,1,0.209792,0.003278,0.02442918
conv-bn-relu_prior_BFJL2T.pt,14,484,9,1,2,0.213885,0.004365,0.023661660000000008
conv-bn-relu_prior_0YQ5XU.pt,7,111,39,1,1,0.214032,0.004368,0.024838079999999995
conv-bn-relu_prior_F9LKBL.pt,8,85,39,1,1,0.214656,0.003354,0.02475124
conv-bn-relu_prior_QQJNDS.pt,1,17,258,7,1,0.215172,0.215172,0.031116780000000004
conv-bn-relu_prior_K7Y6G5.pt,13,115,11,1,1,0.215644,0.001276,0.024594820000000003
conv-bn-relu_prior_P6ZA7G.pt,8,8,376,1,1,0.216576,0.003384,0.024187520000000004
conv-bn-relu_prior_XJH0CV.pt,14,62,18,1,1,0.222264,0.001134,0.024686040000000006
conv-bn-relu_prior_AN5SFF.pt,3,153,162,1,1,0.224532,0.024948,0.024580040000000004
conv-bn-relu_prior_VH5S3G.pt,8,39,10,3,1,0.22528,0.00352,0.025606959999999998
conv-bn-relu_prior_HQDF1D.pt,13,3,48,3,1,0.227136,0.001344,0.023839300000000008
conv-bn-relu_prior_AG134H.pt,56,9,29,1,2,0.22736,0.00029,0.02396218000000001
conv-bn-relu_prior_VPBELU.pt,3,619,41,1,1,0.22878,0.02542,0.02523302
conv-bn-relu_prior_UWS6PD.pt,3,251,101,1,1,0.229068,0.025452,0.02456588000000001
conv-bn-relu_prior_CYDRZT.pt,27,6,45,1,1,0.229635,0.000315,0.024179340000000004
conv-bn-relu_prior_TF4WK5.pt,8,96,148,1,2,0.229696,0.014356,0.023918279999999993
conv-bn-relu_prior_Q7MHSH.pt,13,46,29,1,1,0.230347,0.001363,0.024739679999999993
conv-bn-relu_prior_LNXHU2.pt,8,98,147,1,2,0.232848,0.014553,0.02405154000000001
conv-bn-relu_prior_OG1JV4.pt,3,225,115,1,1,0.23391,0.02599,0.025272799999999988
conv-bn-relu_prior_5XBN7S.pt,14,79,15,1,1,0.2352,0.0012,0.024615
conv-bn-relu_prior_KLA8O8.pt,7,129,37,1,1,0.23569,0.00481,0.024142860000000006
conv-bn-relu_prior_Y0CY6X.pt,7,160,30,1,1,0.23667,0.00483,0.02452065999999999
conv-bn-relu_prior_9BCS3S.pt,7,58,82,1,1,0.237062,0.004838,0.024504459999999995
conv-bn-relu_prior_GUG68F.pt,3,53,489,1,1,0.237654,0.026406,0.02536062000000001
conv-bn-relu_prior_TC5CLM.pt,13,100,14,1,1,0.238966,0.001414,0.024793999999999997
conv-bn-relu_prior_2MGZJU.pt,14,176,7,1,1,0.242844,0.001239,0.02442312
conv-bn-relu_prior_CU2C0X.pt,8,26,142,1,1,0.245376,0.003834,0.02461886
conv-bn-relu_prior_UHCUXS.pt,3,527,52,1,1,0.247104,0.027456,0.025574999999999997
conv-bn-relu_prior_9S3NY3.pt,14,114,11,1,1,0.24794,0.001265,0.024435659999999998
conv-bn-relu_prior_NEYXG7.pt,8,78,50,1,1,0.2528,0.00395,0.024332100000000002
conv-bn-relu_prior_060BXN.pt,13,252,6,1,1,0.256542,0.001518,0.024351220000000003
conv-bn-relu_prior_X5FLCZ.pt,14,100,13,1,1,0.257348,0.001313,0.025214319999999995
conv-bn-relu_prior_FIJ64R.pt,8,30,11,7,2,0.258896,0.016181,0.033922680000000004
conv-bn-relu_prior_IWIAJY.pt,13,122,50,1,2,0.2598375,0.00615,0.03252926000000001
conv-bn-relu_prior_M7I12X.pt,7,20,1017,1,2,0.26162325,0.021357,0.03179106
conv-bn-relu_prior_GF64U9.pt,14,93,57,1,2,0.262542,0.005358,0.023819520000000004
conv-bn-relu_prior_WJFO88.pt,8,78,52,1,1,0.262912,0.004108,0.024519540000000003
conv-bn-relu_prior_5M30E2.pt,3,669,44,1,1,0.26532,0.02948,0.025399919999999993
conv-bn-relu_prior_982X8G.pt,28,17,19,1,1,0.268128,0.000342,0.023646920000000005
conv-bn-relu_prior_DP2JRS.pt,14,136,10,1,1,0.26852,0.00137,0.024964260000000012
conv-bn-relu_prior_KD2ZUI.pt,14,190,29,1,2,0.271411,0.005539,0.023906059999999993
conv-bn-relu_prior_M02LTS.pt,1,530,58,3,1,0.276718,0.276718,0.03356028
conv-bn-relu_prior_LS52D0.pt,14,284,5,1,1,0.2793,0.001425,0.02427874
conv-bn-relu_prior_OH73IG.pt,14,89,16,1,1,0.28224,0.00144,0.023915400000000003
conv-bn-relu_prior_BLS30O.pt,13,20,319,1,2,0.28303275,0.006699,0.031902620000000007
conv-bn-relu_prior_LIT3LS.pt,3,179,178,1,1,0.28836,0.03204,0.02427037999999999
conv-bn-relu_prior_WDFI4I.pt,28,7,184,1,2,0.288512,0.001472,0.02394456
conv-bn-relu_prior_PNGI9I.pt,13,8,192,1,1,0.292032,0.001728,0.024348479999999992
conv-bn-relu_prior_FX0I8W.pt,7,77,77,1,1,0.294294,0.006006,0.024204499999999997
conv-bn-relu_prior_8BTBP3.pt,1,67,177,5,1,0.296652,0.296652,0.03198529999999999
conv-bn-relu_prior_RJ2GVW.pt,27,40,40,1,2,0.29889,0.00164,0.023705499999999997
conv-bn-relu_prior_G4V74I.pt,13,208,34,1,2,0.3002285,0.007106,0.03186396
conv-bn-relu_prior_N8PF5B.pt,8,224,21,1,1,0.3024,0.004725,0.02462158
conv-bn-relu_prior_8QRJTR.pt,13,32,218,1,2,0.3039465,0.007194,0.03188508
conv-bn-relu_prior_PPYQNO.pt,3,199,169,1,1,0.3042,0.0338,0.0244148
conv-bn-relu_prior_GP1CGN.pt,14,181,35,1,2,0.31213,0.00637,0.023707600000000002
conv-bn-relu_prior_BNNONR.pt,3,1902,73,1,2,0.31256775,0.138919,0.03408022
conv-bn-relu_prior_8Z0ITN.pt,14,79,80,1,2,0.3136,0.0064,0.023971199999999998
conv-bn-relu_prior_FXMV6N.pt,8,28,169,1,1,0.313664,0.004901,0.024121140000000003
conv-bn-relu_prior_6R1V1E.pt,7,215,30,1,1,0.31752,0.00648,0.025054139999999992
conv-bn-relu_prior_RU50LB.pt,14,93,69,1,2,0.317814,0.006486,0.023867279999999998
conv-bn-relu_prior_0H6L2G.pt,3,203,174,1,1,0.319464,0.035496,0.02420038
conv-bn-relu_prior_627XNN.pt,14,108,15,1,1,0.32046,0.001635,0.024366119999999995
conv-bn-relu_prior_M92PXU.pt,13,10,173,1,1,0.321607,0.001903,0.024286679999999995
conv-bn-relu_prior_8LXZ4L.pt,28,137,12,1,2,0.324576,0.001656,0.02396478
conv-bn-relu_prior_JR40MP.pt,14,132,50,1,2,0.32585,0.00665,0.02511066
conv-bn-relu_prior_5IEYG8.pt,13,405,19,1,2,0.3259165,0.007714,0.032443959999999994
conv-bn-relu_prior_Z8P91V.pt,3,183,197,1,1,0.326232,0.036248,0.02435516
conv-bn-relu_prior_1ZEPYB.pt,8,25,199,1,1,0.331136,0.005174,0.025102019999999996
conv-bn-relu_prior_KE2EIG.pt,14,12,130,1,1,0.33124,0.00169,0.024501079999999995
conv-bn-relu_prior_IX04VU.pt,14,17,94,1,1,0.331632,0.001692,0.023796800000000003
conv-bn-relu_prior_4JMFQL.pt,8,152,34,1,1,0.332928,0.005202,0.024309880000000002
conv-bn-relu_prior_MVNNW8.pt,13,53,146,1,2,0.333099,0.007884,0.03269026
conv-bn-relu_prior_HOCKGU.pt,14,226,30,1,2,0.33369,0.00681,0.02371117999999999
conv-bn-relu_prior_DW1GH8.pt,7,122,56,1,1,0.337512,0.006888,0.02519931999999999
conv-bn-relu_prior_XR1U4V.pt,3,189,198,1,1,0.33858,0.03762,0.02441108000000001
conv-bn-relu_prior_VJ8BI6.pt,7,143,193,1,2,0.340452,0.027792,0.03326978
conv-bn-relu_prior_YUGLZ4.pt,3,825,46,1,1,0.341964,0.037996,0.025795179999999994
conv-bn-relu_prior_UMN942.pt,7,79,351,1,2,0.34398,0.02808,0.03324956000000001
conv-bn-relu_prior_RAH1Y1.pt,13,156,13,1,1,0.344929,0.002041,0.02490476
conv-bn-relu_prior_J2ZLPO.pt,56,10,10,1,1,0.34496,0.00011,0.0237578
conv-bn-relu_prior_C1C9NX.pt,3,118,13,5,1,0.345267,0.038363,0.03330957999999999
conv-bn-relu_prior_DE3UNW.pt,8,33,161,1,1,0.350336,0.005474,0.024475880000000005
conv-bn-relu_prior_IVHRRW.pt,14,180,10,1,1,0.35476,0.00181,0.02490626
conv-bn-relu_prior_YNBO4M.pt,3,158,248,1,1,0.354888,0.039432,0.025298160000000007
conv-bn-relu_prior_W6GF25.pt,13,84,4,5,2,0.355069,0.008404,0.02791926
conv-bn-relu_prior_DKZMGW.pt,28,75,6,1,1,0.357504,0.000456,0.024272840000000007
conv-bn-relu_prior_49TBD8.pt,8,51,108,1,1,0.359424,0.005616,0.02449508
conv-bn-relu_prior_L3LITE.pt,8,194,29,1,1,0.36192,0.005655,0.02493656
conv-bn-relu_prior_S6BRGF.pt,14,39,21,3,2,0.362208,0.007392,0.03339408
conv-bn-relu_prior_GE361L.pt,8,36,153,1,1,0.362304,0.005661,0.024076339999999995
conv-bn-relu_prior_JA1KN5.pt,14,37,195,1,2,0.36309,0.00741,0.02388418
conv-bn-relu_prior_MHK4VT.pt,13,60,4,3,1,0.365716,0.002164,0.02888475999999999
conv-bn-relu_prior_7AU4YX.pt,14,51,36,1,1,0.366912,0.001872,0.024642460000000005
conv-bn-relu_prior_YYTKIB.pt,3,952,44,1,1,0.377388,0.041932,0.025364840000000007
conv-bn-relu_prior_7CK41K.pt,13,171,13,1,1,0.377884,0.002236,0.02418272
conv-bn-relu_prior_B5780O.pt,27,12,40,1,1,0.37908,0.00052,0.023669219999999998
conv-bn-relu_prior_DRKJNV.pt,14,3,492,1,1,0.385728,0.001968,0.024667160000000004
conv-bn-relu_prior_HKMJBL.pt,8,29,203,1,1,0.38976,0.00609,0.024863680000000003
conv-bn-relu_prior_24C7ER.pt,14,101,78,1,2,0.389844,0.007956,0.0238
conv-bn-relu_prior_PZZGMY.pt,8,23,254,1,1,0.390144,0.006096,0.02414326
conv-bn-relu_prior_VHEHN9.pt,7,530,15,1,1,0.390285,0.007965,0.02604492
