model_path,CIN,COUT,feature_0,feature_1,latency
fc_prior_FRK96H.pt,1285,1000,1.2855,2.571,0.05912513999999999
fc_prior_JTTE12.pt,1306,1000,1.3065,2.613,0.05910529999999997
fc_prior_7L6XBT.pt,1311,1000,1.3115,2.623,0.05085869999999999
fc_prior_HYO5PB.pt,1322,1000,1.3225,2.645,0.058706119999999994
fc_prior_AOR3TT.pt,1325,1000,1.3255,2.651,0.03777378
fc_prior_SBGEMI.pt,1342,1000,1.3425,2.685,0.05819465999999998
fc_prior_KK81H4.pt,1343,1000,1.3435,2.687,0.05681254
fc_prior_4TLKY7.pt,1343,1000,1.3435,2.687,0.05688976000000001
fc_prior_3VSFYQ.pt,1356,1000,1.3565,2.713,0.05931615999999999
fc_prior_VGNGCX.pt,1356,1000,1.3565,2.713,0.0588652
fc_prior_KSWP9V.pt,1360,1000,1.3605,2.721,0.05751093999999999
fc_prior_G535P2.pt,1368,1000,1.3685,2.737,0.051276980000000014
fc_prior_03J0WY.pt,1371,1000,1.3715,2.743,0.05515
fc_prior_X5A5DZ.pt,1374,1000,1.3745,2.749,0.0548241
fc_prior_S2UICB.pt,1395,1000,1.3955,2.791,0.05417848000000001
fc_prior_9XM36N.pt,1411,1000,1.4115,2.823,0.05667618
fc_prior_V5QCNH.pt,1416,1000,1.4165,2.833,0.05345959999999999
fc_prior_WFVJHO.pt,1429,1000,1.4295,2.859,0.058461619999999985
fc_prior_BSJRVW.pt,1446,1000,1.4465,2.893,0.054801199999999994
fc_prior_LLN3OR.pt,1453,1000,1.4535,2.907,0.05744108000000001
fc_prior_ESUR23.pt,1456,1000,1.4565,2.913,0.057893279999999984
fc_prior_L8S1GI.pt,1460,1000,1.4605,2.921,0.057113359999999995
fc_prior_8Y0IOL.pt,1482,1000,1.4825,2.965,0.057023040000000004
fc_prior_V4B8NF.pt,1498,1000,1.4985,2.997,0.05810924
fc_prior_OC4UYL.pt,1502,1000,1.5025,3.005,0.05742336000000001
fc_prior_AH8UO1.pt,1507,1000,1.5075,3.015,0.05881406
fc_prior_CAG2NK.pt,1518,1000,1.5185,3.037,0.056486400000000006
fc_prior_JZ7KCO.pt,1526,1000,1.5265,3.053,0.05852513999999998
fc_prior_JLLYGM.pt,1548,1000,1.5485,3.097,0.05872856
fc_prior_0UMGQR.pt,1550,1000,1.5505,3.101,0.056399879999999986
fc_prior_1OPY47.pt,1597,1000,1.5975,3.195,0.05460093999999999
fc_prior_2HV30K.pt,1618,1000,1.6185,3.237,0.0543424
fc_prior_DOMTHP.pt,1621,1000,1.6215,3.243,0.05770208000000001
fc_prior_RLZTZ7.pt,1630,1000,1.6305,3.261,0.054948699999999996
fc_prior_9ZP5ZV.pt,1644,1000,1.6445,3.289,0.05328123999999999
fc_prior_C9I0LI.pt,1660,1000,1.6605,3.321,0.05459151999999998
fc_prior_TSG7EQ.pt,1672,1000,1.6725,3.345,0.05342925999999999
fc_prior_LEPTEU.pt,1674,1000,1.6745,3.349,0.05377601999999999
fc_prior_4BQ380.pt,1679,1000,1.6795,3.359,0.052308639999999976
fc_prior_JZLJ8H.pt,1686,1000,1.6865,3.373,0.05164633999999999
fc_prior_8F991A.pt,1702,1000,1.7025,3.405,0.04953648
fc_prior_HR5I2U.pt,1702,1000,1.7025,3.405,0.05227520000000001
fc_prior_UR8USI.pt,1706,1000,1.7065,3.413,0.05079148000000001
fc_prior_0WJ1R3.pt,1708,1000,1.7085,3.417,0.055120519999999985
fc_prior_1EHASV.pt,1710,1000,1.7105,3.421,0.05063934
fc_prior_A4Y9HP.pt,1711,1000,1.7115,3.423,0.05077742
fc_prior_NO1NLK.pt,1716,1000,1.7165,3.433,0.053985760000000015
fc_prior_JYF8F6.pt,1736,1000,1.7365,3.473,0.050562299999999984
fc_prior_Y7SXAI.pt,1741,1000,1.7415,3.483,0.05130716
fc_prior_EACNZY.pt,1749,1000,1.7495,3.499,0.05143410000000002
fc_prior_74Q3PO.pt,1750,1000,1.7505,3.501,0.05015628000000001
fc_prior_HD6MAT.pt,1752,1000,1.7525,3.505,0.05040422000000001
fc_prior_D9563N.pt,1755,1000,1.7555,3.511,0.04852118000000001
fc_prior_NHLWKC.pt,1756,1000,1.7565,3.513,0.04909094
fc_prior_W5Z4N5.pt,1760,1000,1.7605,3.521,0.05557436000000001
fc_prior_QJJXQ4.pt,1760,1000,1.7605,3.521,0.05629988000000002
fc_prior_ZTHXYM.pt,1760,1000,1.7605,3.521,0.05615309999999999
fc_prior_QWIII2.pt,1763,1000,1.7635,3.527,0.056293299999999984
fc_prior_9575B4.pt,1769,1000,1.7695,3.539,0.05384704
fc_prior_T0NFCR.pt,1769,1000,1.7695,3.539,0.05726014
fc_prior_FPGCBA.pt,1771,1000,1.7715,3.543,0.009007140000000002
fc_prior_MF4FBU.pt,1773,1000,1.7735,3.547,0.05336724
fc_prior_XSXTQ1.pt,1775,1000,1.7755,3.551,0.054656500000000004
fc_prior_5GKG36.pt,1776,1000,1.7765,3.553,0.05330208
fc_prior_E7WEMK.pt,1787,1000,1.7875,3.575,0.05506594000000001
fc_prior_JGNURE.pt,1793,1000,1.7935,3.587,0.052172600000000006
fc_prior_PCMJJI.pt,1794,1000,1.7945,3.589,0.056079859999999995
fc_prior_UI0NZB.pt,1798,1000,1.7985,3.597,0.05386526
fc_prior_YWCS9Z.pt,1799,1000,1.7995,3.599,0.05309588000000001
fc_prior_T2AONR.pt,1799,1000,1.7995,3.599,0.05825290000000002
fc_prior_Z8KBHE.pt,1799,1000,1.7995,3.599,0.057069459999999975
fc_prior_23GSWS.pt,1800,1000,1.8005,3.601,0.05124244
fc_prior_1OSNO3.pt,1801,1000,1.8015,3.603,0.05260374
fc_prior_BQPAV1.pt,1801,1000,1.8015,3.603,0.05049104
fc_prior_XSV5WZ.pt,1805,1000,1.8055,3.611,0.049475680000000015
fc_prior_SESE39.pt,1811,1000,1.8115,3.623,0.051819320000000016
fc_prior_JCCH9E.pt,1813,1000,1.8135,3.627,0.059329780000000006
fc_prior_629T9F.pt,1814,1000,1.8145,3.629,0.05820999999999999
fc_prior_UOK8L7.pt,1819,1000,1.8195,3.639,0.05485137999999999
fc_prior_OKP4RC.pt,1819,1000,1.8195,3.639,0.05492628000000001
fc_prior_IGCP5U.pt,1824,1000,1.8245,3.649,0.055120120000000015
fc_prior_I99RBS.pt,1832,1000,1.8325,3.665,0.05516492000000001
fc_prior_4ZGSUO.pt,1836,1000,1.8365,3.673,0.05708444000000001
fc_prior_JFQH15.pt,1838,1000,1.8385,3.677,0.053552760000000005
fc_prior_WHYK8K.pt,1841,1000,1.8415,3.683,0.05650927999999999
