model_path,HW,CIN,COUT,KERNEL_SIZE,STRIDES,feature_0,feature_1,latency
dwconv-bn-relu_prior_3IFUCR.pt,7,54,54,3,1,0.02646,0.00054,0.01941446
dwconv-bn-relu_prior_KFQ27N.pt,7,54,54,3,1,0.02646,0.00054,0.019669279999999997
dwconv-bn-relu_prior_IAHQYS.pt,7,54,54,3,1,0.02646,0.00054,0.01983088
dwconv-bn-relu_prior_9UHX7S.pt,7,54,54,3,1,0.02646,0.00054,0.019780939999999997
dwconv-bn-relu_prior_FXBDHC.pt,7,21,21,5,1,0.026754,0.000546,0.019604820000000002
dwconv-bn-relu_prior_SEX9KH.pt,7,21,21,5,1,0.026754,0.000546,0.019768980000000005
dwconv-bn-relu_prior_OQWO9E.pt,7,55,55,3,1,0.02695,0.00055,0.019924739999999996
dwconv-bn-relu_prior_DPSFA4.pt,7,55,55,3,1,0.02695,0.00055,0.019780459999999996
dwconv-bn-relu_prior_U5QC99.pt,7,55,55,3,1,0.02695,0.00055,0.019648559999999995
dwconv-bn-relu_prior_GAUTYW.pt,14,55,55,3,2,0.02695,0.00055,0.019751700000000004
dwconv-bn-relu_prior_T4QMA8.pt,7,55,55,3,1,0.02695,0.00055,0.019658399999999996
dwconv-bn-relu_prior_4SK0W4.pt,7,55,55,3,1,0.02695,0.00055,0.019783480000000006
dwconv-bn-relu_prior_EENJEH.pt,7,85,85,5,2,0.0270725,0.00221,0.019523520000000003
dwconv-bn-relu_prior_VY0XBP.pt,14,56,56,3,2,0.02744,0.00056,0.019638
dwconv-bn-relu_prior_U7M6IS.pt,7,56,56,3,1,0.02744,0.00056,0.019746500000000004
dwconv-bn-relu_prior_33YL1H.pt,7,56,56,3,1,0.02744,0.00056,0.019948499999999997
dwconv-bn-relu_prior_ZCLTTB.pt,7,57,57,3,1,0.02793,0.00057,0.01947602
dwconv-bn-relu_prior_QTRCF9.pt,7,57,57,3,1,0.02793,0.00057,0.02000194
dwconv-bn-relu_prior_YBSJZR.pt,14,57,57,3,2,0.02793,0.00057,0.019818299999999997
dwconv-bn-relu_prior_KN065N.pt,14,57,57,3,2,0.02793,0.00057,0.019985179999999998
dwconv-bn-relu_prior_T1KQ4N.pt,14,57,57,3,2,0.02793,0.00057,0.01968168
dwconv-bn-relu_prior_QBXKCM.pt,14,22,22,5,2,0.028028,0.000572,0.019655859999999997
dwconv-bn-relu_prior_D4XVI9.pt,7,58,58,3,1,0.02842,0.00058,0.019802200000000002
dwconv-bn-relu_prior_KWIMMW.pt,7,58,58,3,1,0.02842,0.00058,0.019597740000000002
dwconv-bn-relu_prior_DIESBT.pt,7,59,59,3,1,0.02891,0.00059,0.020063860000000003
dwconv-bn-relu_prior_EL7FZV.pt,14,59,59,3,2,0.02891,0.00059,0.0195418
dwconv-bn-relu_prior_ZR6SGS.pt,14,59,59,3,2,0.02891,0.00059,0.01987376
dwconv-bn-relu_prior_C170I1.pt,7,59,59,3,1,0.02891,0.00059,0.019867380000000004
dwconv-bn-relu_prior_GYFJF7.pt,14,59,59,3,2,0.02891,0.00059,0.019880079999999994
dwconv-bn-relu_prior_BL8ZQ8.pt,7,23,23,5,1,0.029302,0.000598,0.020017399999999998
dwconv-bn-relu_prior_VPTIYW.pt,7,23,23,5,1,0.029302,0.000598,0.020005199999999997
dwconv-bn-relu_prior_63TSGC.pt,7,23,23,5,1,0.029302,0.000598,0.019570380000000002
dwconv-bn-relu_prior_FHL9KX.pt,7,92,92,5,2,0.029302,0.002392,0.019658199999999997
dwconv-bn-relu_prior_ZR6BGY.pt,7,92,92,5,2,0.029302,0.002392,0.019895900000000008
dwconv-bn-relu_prior_2COD9R.pt,14,15,15,3,1,0.0294,0.00015,0.019790639999999995
dwconv-bn-relu_prior_VZ5M10.pt,7,60,60,3,1,0.0294,0.0006,0.0198007
dwconv-bn-relu_prior_T7N3V4.pt,7,60,60,3,1,0.0294,0.0006,0.02015636
dwconv-bn-relu_prior_LUK2UM.pt,7,60,60,3,1,0.0294,0.0006,0.01966902
dwconv-bn-relu_prior_52KAR2.pt,7,12,12,7,1,0.0294,0.0006,0.02044356
dwconv-bn-relu_prior_WOADWF.pt,7,61,61,3,1,0.02989,0.00061,0.019722360000000005
dwconv-bn-relu_prior_L5Q78K.pt,7,61,61,3,1,0.02989,0.00061,0.019509980000000003
dwconv-bn-relu_prior_VA2WXS.pt,7,62,62,3,1,0.03038,0.00062,0.01965132
dwconv-bn-relu_prior_TNF40Z.pt,7,62,62,3,1,0.03038,0.00062,0.01973906
dwconv-bn-relu_prior_MZC1SA.pt,14,24,24,5,2,0.030576,0.000624,0.019953819999999997
dwconv-bn-relu_prior_6W3GHU.pt,7,24,24,5,1,0.030576,0.000624,0.019611959999999998
dwconv-bn-relu_prior_TU4IVG.pt,14,63,63,3,2,0.03087,0.00063,0.019983859999999996
dwconv-bn-relu_prior_XPOEIK.pt,14,63,63,3,2,0.03087,0.00063,0.01972098
dwconv-bn-relu_prior_Z5DDPQ.pt,7,63,63,3,1,0.03087,0.00063,0.019658
dwconv-bn-relu_prior_73PAS7.pt,14,16,16,3,1,0.03136,0.00016,0.019944359999999998
dwconv-bn-relu_prior_4ZA7SN.pt,14,16,16,3,1,0.03136,0.00016,0.019695700000000007
dwconv-bn-relu_prior_YUR8IQ.pt,14,16,16,3,1,0.03136,0.00016,0.01979066
dwconv-bn-relu_prior_ZZPN45.pt,7,64,64,3,1,0.03136,0.00064,0.01967874
dwconv-bn-relu_prior_NCHUM9.pt,14,64,64,3,2,0.03136,0.00064,0.02006056
dwconv-bn-relu_prior_IF7X5Y.pt,7,64,64,3,1,0.03136,0.00064,0.019753460000000004
dwconv-bn-relu_prior_BDMVDY.pt,7,65,65,3,1,0.03185,0.00065,0.01968248
dwconv-bn-relu_prior_WQS3XC.pt,7,65,65,3,1,0.03185,0.00065,0.019806619999999997
dwconv-bn-relu_prior_VUXYR1.pt,14,65,65,3,2,0.03185,0.00065,0.019612279999999996
dwconv-bn-relu_prior_Q0967G.pt,7,260,260,3,2,0.03185,0.0026,0.019760559999999993
dwconv-bn-relu_prior_59S63H.pt,7,262,262,3,2,0.032095,0.00262,0.019774559999999997
dwconv-bn-relu_prior_YC8E89.pt,7,66,66,3,1,0.03234,0.00066,0.01974930000000001
dwconv-bn-relu_prior_SSRV4B.pt,7,67,67,3,1,0.03283,0.00067,0.019958459999999997
dwconv-bn-relu_prior_DENLBR.pt,7,67,67,3,1,0.03283,0.00067,0.019703460000000002
dwconv-bn-relu_prior_LKNI30.pt,7,67,67,3,1,0.03283,0.00067,0.019629059999999997
dwconv-bn-relu_prior_I15B6R.pt,7,54,54,7,2,0.033075,0.0027,0.019621179999999995
dwconv-bn-relu_prior_283JRT.pt,7,26,26,5,1,0.033124,0.000676,0.019702479999999994
dwconv-bn-relu_prior_JYQYRM.pt,28,17,17,3,2,0.03332,0.00017,0.01977144
dwconv-bn-relu_prior_XQV6KK.pt,14,17,17,3,1,0.03332,0.00017,0.019781200000000002
dwconv-bn-relu_prior_4UCOW1.pt,14,17,17,3,1,0.03332,0.00017,0.019734300000000003
dwconv-bn-relu_prior_IZQPQD.pt,7,68,68,3,1,0.03332,0.00068,0.019742219999999998
dwconv-bn-relu_prior_F210EC.pt,7,68,68,3,1,0.03332,0.00068,0.01974922
dwconv-bn-relu_prior_J9LMFQ.pt,7,68,68,3,1,0.03332,0.00068,0.019741260000000004
dwconv-bn-relu_prior_1ORQL2.pt,7,68,68,3,1,0.03332,0.00068,0.0197742
dwconv-bn-relu_prior_A6EVHY.pt,14,68,68,3,2,0.03332,0.00068,0.019866080000000005
dwconv-bn-relu_prior_BH97L4.pt,7,105,105,5,2,0.0334425,0.00273,0.01956284000000001
dwconv-bn-relu_prior_ETU1OJ.pt,14,69,69,3,2,0.03381,0.00069,0.019589240000000004
dwconv-bn-relu_prior_AS7STM.pt,7,69,69,3,1,0.03381,0.00069,0.03742362
dwconv-bn-relu_prior_YS55J9.pt,7,69,69,3,1,0.03381,0.00069,0.0201183
dwconv-bn-relu_prior_3AIX3J.pt,7,69,69,3,1,0.03381,0.00069,0.01975238
dwconv-bn-relu_prior_J2YVBF.pt,7,69,69,3,1,0.03381,0.00069,0.01983478
dwconv-bn-relu_prior_0JHIY7.pt,7,69,69,3,1,0.03381,0.00069,0.01957273999999999
dwconv-bn-relu_prior_LHV270.pt,14,69,69,3,2,0.03381,0.00069,0.019764179999999992
dwconv-bn-relu_prior_KXLZ5G.pt,7,70,70,3,1,0.0343,0.0007,0.01961564
dwconv-bn-relu_prior_ZO4TVQ.pt,7,70,70,3,1,0.0343,0.0007,0.019780439999999996
dwconv-bn-relu_prior_4T3OPZ.pt,7,27,27,5,1,0.034398,0.000702,0.01955538
dwconv-bn-relu_prior_3DYM86.pt,7,27,27,5,1,0.034398,0.000702,0.01963338
